구분,QA
온새미 질문,"온새미는 무엇인가요? 온새미는 식품사막 지역에 있는 어르신들을 돕기위해 만들어졌습니다."
온새미 질문,"서비스 이용 요금은 어떻게 되나요? 무료로 사용 가능합니다."
온새미 질문,"한 계정에 여러 명의 어르신을 등록할 수 있나요? 한 계정에 최대 2명을 등록할 수 있습니다."
온새미 질문,"등록된 어르신의 정보를 수정하려면 어떻게 해야 하나요? 마이페이지에서 등록된 어르신"
온새미 질문,"어르신을 위해 어떤 상품을 주문할 수 있나요? 기본적인 생필품을 구매하실 수 있습니다."
온새미 질문,"구매 내역을 어디서 확인할 수 있나요? 마이페이지 주문 내역에서 확인 가능합니다."
온새미 질문,"특정 상품을 즐겨찾기에 추가할 수 있나요? 장바구니 기능이 있습니다."
온새미 질문,"결제 방법은 어떤 것들이 있나요? 신용카드/체크카드 결제 및 가상계좌 결제가 가능합니다."
온새미 질문,"주문한 상품을 반품하거나 교환할 수 있나요? 반품이나 교환은 어렵습니다. 하지만 제품 자체에 문제가 있는경우 환불처리 가능합니다."
온새미 질문,"어르신의 건강 상태를 어떻게 확인할 수 있나요? 보호자 페이지에 있는 대시보드에서 확인이 가능합니다."
온새미 질문,"다른 보호자들과 소통할 수 있는 방법이 있나요? 커뮤니티에서 소통 가능합니다."
온새미 질문,"어르신의 건강 정보는 안전하게 관리되나요? 암호화되어 안전하게 관리되고있습니다."
온새미 질문,"개인정보를 수정하려면 어떻게 해야 하나요? 마이페이지에서 수정 가능합니다."
온새미 질문,"다른 가족 구성원도 계정을 만들 수 있나요? 가족 구성원 당 한 명만 계정 생성 가능합니다."
온새미 질문,"어르신 상태 업데이트 빈도는 어떻게 되나요? 봉사자가 방문한 후 업데이트가 됩니다."
온새미 질문,"서비스 사용 중 생기는 문제를 어떻게 신고하나요? 챗봇을 통한 답변이 나오지 않을 경우 온새미로 연락 부탁드립니다."
온새미 질문,"커뮤니티에서 자주 묻는 질문은 어디서 확인할 수 있나요? 따로 FAQ페이지를 운영하고 있지 않습니다. 챗봇을 통한 답변이 나오지 않을 경우 온새미로 연락 부탁드립니다."
온새미 질문,"어르신의 건강 정보 입력은 누가 할 수 있나요? 첫 가입시 보호자님이 작성후 봉사자가 관리합니다."
노인정책,"노인정책에는 어떤것들이 있나요? 보건복지부에 따르면 치매검진사업 노인실명예방관리사업 노인맞춤돌봄서비스 노인주거복지시설이 있습니다."
노인정책,"치매검진 사업이 무엇인가요? 치매의 위험이 높은 만60세 이상 어르신을 대상으로 치매 조기검진을 실시하여 치매환자를 조기에 발견 · 관리치매환자 및 그 가족들의 삶의 질 제고하기 위함입니다."
노인정책,"치매검진 사업의 대상자 또는 소득조건이 있나요? 시 · 군 · 구(보건소).대상자  만 60세 이상 모든 노인(치매선별검사) 기준 중위소득 120% 이하자 및 보건소장 인정자(치매진단 · 감별검사)입니다."
노인정책,"치매검진 사업은 어떻게 진행, 신청하나요? 보건소에서 1단계 치매선별검사를 실시하고 그 중에서 인지기능저하자를 대상으로 보건소와 지정 · 연계한 거점병원에서 진단검사 감별검사 실시합니다. "
노인정책,"노인실명예방관리사업이 무엇인가요? 노인 안 검진 및 개안수술, 저시력 노인을 위한 재활사업 등 노인실명예방관리입니다."
노인정책,"노인실명예방관리사업이의 대상자는 어떻게되나요? 무료안검진은 60세이상 모든 노인 (단, 안과취약지역 저소득층 우선), 또한 개안 수술은 1.60세 이상 백내장, 망막질환, 녹내장 등 기타 안질환자 중 수술이 필요한 자 2.기준 중위소득 60%이하인 경우  가능합니다."
노인정책,"노인실명예방관리사업 신청은 어떻게 하나요? 주소지 관할보건소 또는 한국실명예방제단에서 신청가능합니다."
노인정책,"노인맞춤돌봄서비스는 무엇인가요? 일상생활 영위가 어려운 취약노인에게 적절한 돌봄 서비스를 제공하여 안정적인 노후생활 보장, 노인의 기능·건강 유지 및 악화 예방하기 위함입니다."
노인정책,"노인맞춤돌봄서비스의 대상자는 어떻게되나요? 65세 이상 기초생활수급자, 차상위계층 또는 기초연금수급자 중 독거·조손가구 등 돌봄이 필요한 노인(대상자 선정도구*를 통해 우선순위에 따라 선정)" 
